Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
1. Mon4/6 vs SFG L (4-5)#,Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
2. Tue4/7 vs SFG W (7-6),Gosewisch,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Inciarte,Trumbo,De La Rosa,
3. Wed4/8 vs SFG L (2-5),Laird,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Trumbo,Hellickson,
4. Fri4/10 vs LAD W (4-3)#,Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Anderson,
5. Sat4/11 vs LAD W (6-0)#,Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Bradley,
6. Sun4/12 vs LAD L (4-7),Gosewisch,Goldschmidt,Pennington,Lamb,Ahmed,Peralta,Pollock,Inciarte,Collmenter,
7. Mon4/13 at SDP W (8-4),Gosewisch,Goldschmidt,Hill,Lamb,Owings,Peralta,Inciarte,Trumbo,De La Rosa,
8. Tue4/14 at SDP L (1-5),Gosewisch,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Trumbo,Hellickson,
9. Wed4/15 at SDP L (2-3),Pacheco,Goldschmidt,Hill,Lamb,Ahmed,Inciarte,Pollock,Trumbo,Anderson,
10. Thu4/16 at SFG W (7-6)#,Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Bradley,
11. Fri4/17 at SFG W (9-0),Gosewisch,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Collmenter,
12. Sat4/18 at SFG L (1-4),Gosewisch,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Inciarte,Trumbo,De La Rosa,
13. Sun4/19 at SFG W (5-1),Pacheco,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Hellickson,
14. Tue4/21 vs TEX L (1-7),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Pollock,Trumbo,Anderson,
15. Wed4/22 vs TEX W (8-5),Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Bradley,
16. Fri4/24 vs PIT L (1-4),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
17. Sat4/25 vs PIT L (1-2),Gosewisch,Goldschmidt,Owings,Hill,Pennington,Peralta,Pollock,Inciarte,De La Rosa,
18. Sun4/26 vs PIT L (0-8)#,Pacheco,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Hellickson,
19. Mon4/27 vs COL L (4-5)#,Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Anderson,
20. Tue4/28 vs COL W (12-5),Gosewisch,Goldschmidt,Hill,Tomas,Owings,Peralta,Pollock,Trumbo,Bradley,
21. Wed4/29 vs COL W (9-1),Pacheco,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Inciarte,Trumbo,Collmenter,
22. Fri5/1 at LAD L (0-8),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Pollock,Trumbo,De La Rosa,
23. Sat5/2 at LAD L (4-6),Pacheco,Goldschmidt,Hill,Tomas,Pennington,Inciarte,Pollock,Trumbo,Hellickson,
24. Sun5/3 at LAD L (0-1)#,Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Anderson,
25. Wed5/6 at COL W (13-7)#,Pacheco,Goldschmidt,Hill,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
26. Wed5/6 at COL W (5-1),Gosewisch,Goldschmidt,Owings,Hill,Pennington,Peralta,Pollock,Inciarte,Ray,
27. Thu5/7 vs SDP W (11-0),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Inciarte,Trumbo,De La Rosa,
28. Fri5/8 vs SDP L (5-6),Gosewisch,Goldschmidt,Hill,Tomas,Owings,Peralta,Pollock,Trumbo,Hellickson,
