Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
29. Sat5/9 vs SDP L (4-6),Pacheco,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Pollock,Inciarte,Anderson,
30. Sun5/10 vs SDP W (2-1),Gosewisch,Goldschmidt,Pennington,Hill,Ahmed,Peralta,Pollock,Trumbo,Hudson,
31. Mon5/11 vs WSN L (1-11),Gosewisch,Goldschmidt,Hill,Tomas,Owings,Peralta,Pollock,Inciarte,Collmenter,
32. Tue5/12 vs WSN W (14-6),Gosewisch,Goldschmidt,Owings,Hill,Ahmed,Peralta,Inciarte,Trumbo,De La Rosa,
33. Wed5/13 vs WSN L (6-9)#,Pacheco,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Hellickson,
34. Fri5/15 at PHI L (3-4),Gosewisch,Goldschmidt,Owings,Pennington,Ahmed,Peralta,Pollock,Inciarte,Anderson,
35. Sat5/16 at PHI L (5-7),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Inciarte,Trumbo,Bradley,
36. Sun5/17 at PHI L (0-6),Pacheco,Goldschmidt,Hill,Tomas,Owings,Inciarte,Pollock,Trumbo,Collmenter,
37. Mon5/18 at MIA W (3-2),Gosewisch,Goldschmidt,Hill,Tomas,Owings,Inciarte,Pollock,Trumbo,De La Rosa,
38. Tue5/19 at MIA W (4-2),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Inciarte,Trumbo,Hellickson,
39. Wed5/20 at MIA W (6-1),Gosewisch,Goldschmidt,Hill,Tomas,Ahmed,Peralta,Pollock,Inciarte,Anderson,
40. Thu5/21 at MIA W (7-6),Pacheco,Trumbo,Owings,Tomas,Pennington,Peralta,Pollock,Inciarte,Bradley,
41. Fri5/22 vs CHC W (5-4)#,Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
42. Sat5/23 vs CHC L (6-9),Gosewisch,Goldschmidt,Hill,Tomas,Ahmed,Peralta,Pollock,Trumbo,De La Rosa,
43. Sun5/24 vs CHC W (4-3),Pacheco,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Inciarte,Hellickson,
44. Mon5/25 at STL L (2-3),Gosewisch,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Inciarte,Trumbo,Anderson,
45. Tue5/26 at STL L (4-6)#,Gosewisch,Goldschmidt,Hill,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Bradley,
46. Wed5/27 at STL L (3-4),Gosewisch,Goldschmidt,Pennington,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
47. Fri5/29 at MIL W (7-5),Saltalamacchia,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Pollock,Inciarte,De La Rosa,
48. Sat5/30 at MIL W (7-3),Pacheco,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Hellickson,
49. Sun5/31 at MIL L (6-7),Saltalamacchia,Goldschmidt,Owings,Tomas,Pennington,Peralta,Pollock,Trumbo,Anderson,
50. Mon6/1 vs ATL L (1-8)#,Saltalamacchia,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Trumbo,Bradley,
51. Tue6/2 vs ATL W (7-6),Pacheco,Goldschmidt,Owings,Tomas,Ahmed,Inciarte,Pollock,Trumbo,Collmenter,
52. Wed6/3 vs ATL W (9-8),Saltalamacchia,Goldschmidt,Owings,Tomas,Pennington,Peralta,Pollock,Inciarte,De La Rosa,
53. Thu6/4 vs NYM L (2-6),Saltalamacchia,Goldschmidt,Owings,Tomas,Ahmed,Peralta,Pollock,Inciarte,Ray,
54. Fri6/5 vs NYM W (7-2)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Hellickson,
55. Sat6/6 vs NYM W (2-1),Castillo,Goldschmidt,Owings,Tomas,Pennington,Peralta,Pollock,Inciarte,Anderson,
56. Sun6/7 vs NYM L (3-6),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Collmenter,
57. Mon6/8 at LAD L (3-9),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Inciarte,Pollock,Tomas,De La Rosa,
58. Tue6/9 at LAD L (1-3),Saltalamacchia,Goldschmidt,Pennington,Lamb,Ahmed,Peralta,Inciarte,Tomas,Ray,
59. Wed6/10 at LAD L (6-7)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Hellickson,
60. Fri6/12 at SFG W (1-0)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Anderson,
61. Sat6/13 at SFG W (4-2),Saltalamacchia,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Tomas,Webster,
62. Sun6/14 at SFG W (4-0),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Inciarte,De La Rosa,
63. Mon6/15 at LAA W (7-3),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Ray,Tomas
64. Tue6/16 at LAA L (1-4),Saltalamacchia,Dorn,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Hellickson,Goldschmidt
65. Wed6/17 vs LAA W (3-2)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,Anderson,
66. Thu6/18 vs LAA L (1-7)#,Saltalamacchia,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,Webster,
67. Fri6/19 vs SDP W (4-2),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
68. Sat6/20 vs SDP L (1-8),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Dorn,Ray,
69. Sun6/21 vs SDP W (7-2),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Hellickson,
70. Tue6/23 at COL L (5-10),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Dorn,Anderson,
71. Wed6/24 at COL W (8-7),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Webster,
72. Thu6/25 at COL L (4-6)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
73. Fri6/26 at SDP L (2-4),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Ray,
74. Sat6/27 at SDP L (2-7),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Hellickson,
75. Sun6/28 at SDP W (6-4),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Pennington,Peralta,Tomas,Anderson,
76. Mon6/29 vs LAD W (10-6),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Webster,
77. Tue6/30 vs LAD L (4-6),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
78. Wed7/1 vs LAD L (3-4)#,Saltalamacchia,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Tomas,Ray,
79. Thu7/2 vs COL W (8-1)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,Hellickson,
80. Fri7/3 vs COL W (4-3),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Tomas,Anderson,
81. Sat7/4 vs COL W (7-3),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Corbin,
82. Sun7/5 vs COL L (4-6)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
83. Tue7/7 at TEX W (4-2),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Ray,Saltalamacchia
84. Wed7/8 at TEX W (7-4)#,Castillo,Goldschmidt,Pennington,Lamb,Ahmed,Peralta,Pollock,Tomas,Hellickson,Hill
85. Fri7/10 at NYM L (2-4),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Anderson,
86. Sat7/11 at NYM L (2-4),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Tomas,Corbin,
87. Sun7/12 at NYM L (3-5)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
88. Fri7/17 vs SFG L (5-6),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Ray,
89. Sat7/18 vs SFG L (4-8),Hernandez,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Anderson,
90. Sun7/19 vs SFG L (1-2)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Corbin,
91. Mon7/20 vs MIA W (3-1),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,De La Rosa,
92. Tue7/21 vs MIA L (0-3),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,Hellickson,
93. Wed7/22 vs MIA L (3-5),Hernandez,Goldschmidt,Owings,Lamb,Pennington,Peralta,Inciarte,Tomas,Ray,
94. Thu7/23 vs MIL W (8-3),Hernandez,Goldschmidt,Pennington,Hill,Ahmed,Inciarte,Pollock,Tomas,Godley,
95. Fri7/24 vs MIL L (1-2),Hernandez,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
96. Sat7/25 vs MIL W (2-0),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Inciarte,De La Rosa,
97. Sun7/26 vs MIL W (3-0),Hernandez,Goldschmidt,Hill,Lamb,Ahmed,Inciarte,Pollock,Tomas,Hellickson,
98. Mon7/27 at SEA W (4-3)#,Castillo,Goldschmidt,Owings,Lamb,Ahmed,Inciarte,Pollock,Tomas,Ray,Hill
99. Tue7/28 at SEA W (8-4),Hernandez,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Godley,Saltalamacchia
100. Wed7/29 at SEA W (8-2),Castillo,Goldschmidt,Owings,Lamb,Pennington,Peralta,Pollock,Inciarte,Corbin,Tomas
101. Fri7/31 at HOU W (6-4),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,De La Rosa,Tomas
102. Sat8/1 at HOU L (2-9)#,Saltalamacchia,Goldschmidt,Owings,Hill,Ahmed,Pennington,Inciarte,Tomas,Hellickson,Castillo
103. Sun8/2 at HOU L (1-4),Castillo,Lamb,Pennington,Hill,Ahmed,Peralta,Inciarte,Tomas,Ray,Goldschmidt
104. Mon8/3 at WSN W (6-4),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Inciarte,Godley,
105. Tue8/4 at WSN L (4-5),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
106. Wed8/5 at WSN W (11-4)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,De La Rosa,
107. Thu8/6 at WSN L (3-8),Hernandez,Saltalamacchia,Hill,Lamb,Pennington,Peralta,Inciarte,Tomas,Hellickson,
108. Fri8/7 vs CIN W (2-0),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Anderson,
109. Sat8/8 vs CIN L (1-4),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Inciarte,Ray,
110. Sun8/9 vs CIN W (4-3),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
111. Mon8/10 vs PHI W (13-3),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Tomas,De La Rosa,
112. Tue8/11 vs PHI W (13-1),Saltalamacchia,Goldschmidt,Hill,Lamb,Owings,Peralta,Pollock,Tomas,Hellickson,
113. Wed8/12 vs PHI L (6-7),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Romak,Pollock,Inciarte,Anderson,
114. Fri8/14 at ATL L (2-3),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Ray,
115. Sat8/15 at ATL W (8-4),Saltalamacchia,Goldschmidt,Hill,Lamb,Owings,Peralta,Pollock,Inciarte,Corbin,
116. Sun8/16 at ATL L (1-2),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Inciarte,Tomas,De La Rosa,
117. Mon8/17 at PIT W (4-1),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Inciarte,Pollock,Peralta,Hellickson,
118. Tue8/18 at PIT L (8-9)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Peralta,Pollock,Tomas,Anderson,
119. Wed8/19 at PIT L (1-4)#,Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Inciarte,Pollock,Tomas,Ray,
120. Thu8/20 at CIN W (5-4)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Corbin,
121. Fri8/21 at CIN W (6-3)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,De La Rosa,
122. Sat8/22 at CIN W (11-7),Saltalamacchia,Goldschmidt,Hill,Lamb,Owings,Inciarte,Pollock,Peralta,Delgado,
123. Sun8/23 at CIN W (4-0),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Inciarte,Tomas,Anderson,
124. Mon8/24 vs STL L (3-5),Castillo,Goldschmidt,Hill,Lamb,Owings,Peralta,Pollock,Inciarte,Chacin,
125. Tue8/25 vs STL L (1-9)#,Castillo,Goldschmidt,Owings,Hill,Ahmed,Inciarte,Pollock,Tomas,Ray,
126. Wed8/26 vs STL L (1-3),Saltalamacchia,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
127. Thu8/27 vs STL L (3-5),Castillo,Goldschmidt,Hill,Lamb,Owings,Peralta,Pollock,Inciarte,De La Rosa,
128. Fri8/28 vs OAK W (6-4),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Anderson,
129. Sat8/29 vs OAK L (2-3),Castillo,Goldschmidt,Hill,Lamb,Ahmed,Peralta,Pollock,Inciarte,Chacin,
130. Sun8/30 vs OAK L (4-7),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Inciarte,Tomas,Webster,
131. Mon8/31 at COL L (4-5),Castillo,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Inciarte,Ray,
132. Tue9/1 at COL W (6-4)#,Saltalamacchia,Goldschmidt,Gosselin,Drury,Ahmed,Inciarte,Pollock,Tomas,Corbin,
133. Tue9/1 at COL W (5-3),Castillo,Goldschmidt,Gosselin,Lamb,Owings,Inciarte,Pollock,Peralta,De La Rosa,
134. Wed9/2 at COL L (4-9),Castillo,Lamb,Gosselin,Drury,Owings,Inciarte,Pollock,Peralta,Anderson,
135. Fri9/4 at CHC L (5-14)#,Castillo,Tomas,Owings,Gosselin,Ahmed,Peralta,Pollock,Inciarte,Godley,
136. Sat9/5 at CHC L (0-2),Saltalamacchia,Goldschmidt,Drury,Lamb,Owings,Peralta,Pollock,Inciarte,Ray,
137. Sun9/6 at CHC L (4-6),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,De La Rosa,
138. Mon9/7 vs SFG W (6-1),Castillo,Goldschmidt,Gosselin,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
139. Tue9/8 vs SFG L (2-6),Saltalamacchia,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Tomas,Anderson,
140. Wed9/9 vs SFG W (2-1),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Inciarte,Brito,Godley,
141. Fri9/11 vs LAD W (12-4)#,Castillo,Goldschmidt,Owings,Gosselin,Ahmed,Inciarte,Pollock,Tomas,Ray,
142. Sat9/12 vs LAD L (5-9),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,De La Rosa,
143. Sun9/13 vs LAD L (3-4),Saltalamacchia,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Corbin,
144. Mon9/14 vs SDP L (3-10),Castillo,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Inciarte,Hellickson,
145. Tue9/15 vs SDP W (6-4),Castillo,Goldschmidt,Owings,Drury,Ahmed,Peralta,Pollock,Inciarte,Chacin,
146. Wed9/16 vs SDP L (3-4),Saltalamacchia,Goldschmidt,Drury,Lamb,Owings,Peralta,Pollock,Inciarte,Ray,
147. Fri9/18 at SFG W (2-0)#,Castillo,Goldschmidt,Hill,Drury,Ahmed,Tomas,Pollock,Inciarte,De La Rosa,
148. Sat9/19 at SFG W (6-0),Saltalamacchia,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Inciarte,Corbin,
149. Sun9/20 at SFG L (1-5),Castillo,Goldschmidt,Owings,Lamb,Ahmed,Peralta,Pollock,Inciarte,Hellickson,
150. Mon9/21 at LAD W (8-4)#,Castillo,Goldschmidt,Hill,Drury,Ahmed,Tomas,Pollock,Inciarte,Chacin,
151. Tue9/22 at LAD W (8-0)#,Saltalamacchia,Goldschmidt,Owings,Drury,Ahmed,Peralta,Pollock,Tomas,Ray,
152. Wed9/23 at LAD L (1-4),Saltalamacchia,Goldschmidt,Drury,Lamb,Owings,Peralta,Pollock,Inciarte,Anderson,
153. Thu9/24 at LAD L (3-6)#,Castillo,Goldschmidt,Hill,Drury,Owings,Tomas,Pollock,Inciarte,Corbin,
154. Fri9/25 at SDP W (6-3),Castillo,Goldschmidt,Gosselin,Lamb,Drury,Peralta,Pollock,Inciarte,De La Rosa,
155. Sat9/26 at SDP L (0-3)#,Castillo,Goldschmidt,Hill,Drury,Owings,Tomas,Pollock,Inciarte,Hellickson,
156. Sun9/27 at SDP W (4-2),Saltalamacchia,Tomas,Hill,Lamb,Owings,Peralta,Pollock,Inciarte,Godley,
157. Tue9/29 vs COL W (4-3),Castillo,Goldschmidt,Drury,Lamb,Owings,Peralta,Pollock,Inciarte,Ray,
158. Wed9/30 vs COL W (3-1),Saltalamacchia,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Brito,Anderson,
159. Thu10/1 vs COL W (8-6),Castillo,Goldschmidt,Gosselin,Lamb,Owings,Peralta,Pollock,Tomas,Corbin,
160. Fri10/2 vs HOU L (5-21)#,Castillo,Goldschmidt,Gosselin,Hill,Owings,Tomas,Pollock,Brito,De La Rosa,
161. Sat10/3 vs HOU L (2-6),Castillo,Goldschmidt,Hill,Lamb,Owings,O'Brien,Pollock,Brito,Hellickson,
162. Sun10/4 vs HOU W (5-3),Saltalamacchia,Goldschmidt,Hill,Lamb,Owings,Gosselin,Pollock,Brito,Ray,
162 Games,6 Players,6 Players,5 Players,6 Players,4 Players,7 Players,3 Players,6 Players,12 Players,5 Players
