Game (# = Opp. LHS),C,1B,2B,3B,SS,LF,CF,RF,P,DH
87. Wed7/6 vs SDP L (6-13),Herrmann,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Miller,
88. Fri7/8 at SFG L (2-6),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Corbin,
89. Sat7/9 at SFG L (2-4),Gosewisch,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Ray,
90. Sun7/10 at SFG L (0-4)#,Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Bradley,
91. Fri7/15 vs LAD L (7-13),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Herrmann,Bourn,Tomas,Corbin,
92. Sat7/16 vs LAD W (2-1),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Bradley,
93. Sun7/17 vs LAD W (6-5),Gosewisch,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Freeman,Ray,
94. Tue7/19 vs TOR L (1-5),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Godley,
95. Wed7/20 vs TOR L (4-10),Gosewisch,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Corbin,
96. Fri7/22 at CIN L (2-6),Castillo,Goldschmidt,Segura,Lamb,Ahmed,Drury,Bourn,Tomas,Bradley,
97. Sat7/23 at CIN L (1-6),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Tomas,Ray,
98. Sun7/24 at CIN W (9-8)#,Castillo,Goldschmidt,Gosselin,Drury,Segura,Weeks,Owings,Tomas,Godley,
99. Mon7/25 at MIL L (2-7),Gosewisch,Goldschmidt,Gosselin,Lamb,Segura,Weeks,Bourn,Tomas,Shipley,
100. Tue7/26 at MIL L (4-9),Castillo,Goldschmidt,Gosselin,Drury,Segura,Bourn,Owings,Tomas,Corbin,
101. Wed7/27 at MIL W (8-1),Castillo,Goldschmidt,Gosselin,Drury,Segura,Bourn,Owings,Tomas,Bradley,
102. Thu7/28 at MIL L (4-6),Gosewisch,Goldschmidt,Gosselin,Drury,Segura,Weeks,Bourn,Tomas,Ray,
103. Fri7/29 at LAD L (7-9),Castillo,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Peralta,Godley,
104. Sat7/30 at LAD W (4-2)#,Castillo,Goldschmidt,Drury,Lamb,Segura,Weeks,Owings,Tomas,Shipley,
105. Sun7/31 at LAD L (3-14),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Peralta,Corbin,
106. Mon8/1 vs WSN L (1-14),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Peralta,Bradley,
107. Tue8/2 vs WSN L (4-10),Castillo,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Peralta,Ray,
108. Wed8/3 vs WSN L (3-8),Gosewisch,Goldschmidt,Drury,Lamb,Owings,Tomas,Bourn,Peralta,Godley,
109. Fri8/5 vs MIL W (3-2),Castillo,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Peralta,Shipley,
110. Sat8/6 vs MIL L (6-15),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Tomas,Corbin,
111. Sun8/7 vs MIL W (9-3),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Weeks,Bourn,Tomas,Bradley,
112. Tue8/9 at NYM W (5-3)#,Gosewisch,Goldschmidt,Segura,Lamb,Owings,Weeks,Bourn,Drury,Greinke,
113. Wed8/10 at NYM W (3-2),Hernandez,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Brito,Ray,
114. Thu8/11 at NYM W (9-0),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Brito,Shipley,
115. Fri8/12 at BOS L (4-9)#,Gosewisch,Gosselin,Segura,Lamb,Owings,Weeks,Bourn,Drury,Corbin,Goldschmidt
116. Sat8/13 at BOS L (3-6),Hernandez,Goldschmidt,Segura,Lamb,Owings,Tomas,Bourn,Brito,Bradley,Weeks
117. Sun8/14 at BOS L (2-16),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Tomas,Greinke,Weeks
118. Mon8/15 vs NYM W (10-6),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Tomas,Ray,
119. Tue8/16 vs NYM L (5-7),Castillo,Goldschmidt,Segura,Lamb,Owings,Haniger,Bourn,Tomas,Shipley,
120. Wed8/17 vs NYM W (13-5)#,Gosewisch,Goldschmidt,Segura,Drury,Owings,Weeks,Haniger,Tomas,Godley,
121. Thu8/18 at SDP L (8-9),Castillo,Goldschmidt,Segura,Lamb,Owings,Haniger,Bourn,Tomas,Bradley,
122. Fri8/19 at SDP L (4-7),Castillo,Goldschmidt,Segura,Lamb,Owings,Haniger,Bourn,Tomas,Greinke,
123. Sat8/20 at SDP W (2-1)#,Castillo,Goldschmidt,Gosselin,Drury,Segura,Weeks,Haniger,Tomas,Ray,
124. Sun8/21 at SDP L (1-9),Gosewisch,Goldschmidt,Gosselin,Lamb,Owings,Drury,Bourn,Haniger,Shipley,
125. Mon8/22 vs ATL W (9-8),Castillo,Goldschmidt,Segura,Lamb,Owings,Haniger,Bourn,Tomas,Godley,
126. Tue8/23 vs ATL L (4-7),Castillo,Goldschmidt,Segura,Lamb,Owings,Haniger,Bourn,Tomas,Bradley,
127. Wed8/24 vs ATL W (10-9),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Haniger,Greinke,
128. Thu8/25 vs ATL L (1-3),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Bourn,Haniger,Ray,
129. Fri8/26 vs CIN W (4-3)#,Castillo,Goldschmidt,Segura,Drury,Owings,Weeks,Pollock,Tomas,Shipley,
130. Sat8/27 vs CIN L (0-13),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Bourn,Pollock,Tomas,Godley,
131. Sun8/28 vs CIN W (11-2),Castillo,Gosselin,Drury,Lamb,Owings,Weeks,Pollock,Bourn,Bradley,
132. Tue8/30 at SFG W (4-3),Castillo,Goldschmidt,Segura,Lamb,Owings,Bourn,Pollock,Tomas,Greinke,
133. Wed8/31 at SFG L (2-4)#,Castillo,Goldschmidt,Segura,Drury,Owings,Weeks,Pollock,Tomas,Miller,
134. Fri9/2 at COL L (7-14)#,Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Pollock,Tomas,Ray,
135. Sat9/3 at COL W (9-4),Castillo,Goldschmidt,Gosselin,Lamb,Owings,Brito,Pollock,Tomas,Shipley,
136. Sun9/4 at COL W (8-5),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Brito,Tomas,Bradley,
137. Mon9/5 at LAD L (2-10),Castillo,Goldschmidt,Segura,Lamb,Owings,Brito,Pollock,Tomas,Greinke,
138. Tue9/6 at LAD L (2-5),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Pollock,Tomas,Miller,
139. Wed9/7 at LAD L (1-3),Herrmann,Goldschmidt,Segura,Lamb,Owings,Brito,Pollock,Tomas,Ray,
140. Fri9/9 vs SFG L (6-7)#,Castillo,Goldschmidt,Segura,Drury,Owings,Haniger,Pollock,Tomas,De La Rosa,
141. Sat9/10 vs SFG L (3-11),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Brito,Tomas,Bradley,
142. Sun9/11 vs SFG L (3-5)#,Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Greinke,
143. Mon9/12 vs COL W (12-9)#,Castillo,Goldschmidt,Drury,Lamb,Segura,Jensen,Haniger,Tomas,Miller,
144. Tue9/13 vs COL W (11-4)#,Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Ray,
145. Wed9/14 vs COL W (11-6),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Brito,Tomas,De La Rosa,
146. Thu9/15 vs LAD W (7-3)#,Gosewisch,Goldschmidt,Segura,Drury,Owings,Jensen,Haniger,Tomas,Bradley,
147. Fri9/16 vs LAD L (2-3),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Greinke,
148. Sat9/17 vs LAD L (2-6),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Miller,
149. Sun9/18 vs LAD W (10-9),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Brito,Ray,
150. Mon9/19 at SDP L (2-3)#,Castillo,Jensen,Segura,Gosselin,Owings,Drury,Haniger,Tomas,Shipley,
151. Tue9/20 at SDP L (2-5),Gosewisch,Goldschmidt,Segura,Lamb,Owings,Drury,Haniger,Tomas,Bradley,
152. Wed9/21 at SDP W (3-2),Castillo,Goldschmidt,Segura,Lamb,Owings,Drury,Brito,Tomas,Greinke,
