Rk,Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary
1,Cristhian Adames#\adamecr01,24,COL,121,256,225,25,49,7,3,2,17,2,3,24,47,.218,.304,.302,.607,53,68,5,4,3,0,0,645
2,Matt Adams*\adamsma01,27,STL,118,327,297,37,74,18,0,16,54,0,1,25,81,.249,.309,.471,.780,106,140,5,2,0,3,1,3
3,Tim Adleman\adlemti01,28,CIN,13,23,21,2,4,2,0,0,3,0,0,0,11,.190,.190,.286,.476,24,6,0,0,2,0,0,1
4,Ehire Adrianza#\adriaeh01,26,SFG,40,71,63,3,16,2,0,2,7,0,1,2,13,.254,.299,.381,.679,82,24,0,2,4,0,0,6/45
5,Nick Ahmed\ahmedni01,26,ARI,90,308,284,26,62,9,1,4,20,5,2,15,58,.218,.265,.299,.564,46,85,9,4,2,3,3,6
6,Jorge Alfaro\alfarjo01,23,PHI,6,17,16,0,2,0,0,0,0,0,0,1,8,.125,.176,.125,.301,-16,2,0,0,0,0,1,/2
7,Albert Almora\almoral01,22,CHC,47,117,112,14,31,9,1,3,14,0,0,5,20,.277,.308,.455,.763,103,51,5,0,0,0,0,8/79
8,Aaron Altherr\altheaa01,25,PHI,57,227,198,23,39,6,0,4,22,7,2,23,69,.197,.300,.288,.587,60,57,4,6,0,0,2,978
9,Dario Alvarez*\alvarda01,27,ATL,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
10,Alexi Amarista*\amarial01,27,SDP,65,150,140,9,36,2,0,0,11,9,2,8,26,.257,.295,.271,.567,55,38,5,0,1,1,2,46/5791
11,Brett Anderson*\anderbr04,28,LAD,4,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/1
12,Chase Anderson\anderch01,28,MIL,31,52,45,3,4,0,0,0,1,0,0,1,27,.089,.128,.089,.217,-40,4,0,1,5,0,0,1
13,Tyler Anderson*\anderty01,26,COL,20,42,35,1,4,0,0,1,3,0,0,4,11,.114,.205,.200,.405,3,7,0,0,3,0,0,1
14,Robert Andino\andinro01,32,MIA,13,24,24,2,7,0,0,0,1,0,0,0,4,.292,.292,.292,.583,61,7,0,0,0,0,0,/4756
15,Elvis Araujo*\araujel01,24,PHI,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
16,Orlando Arcia\arciaor01,21,MIL,55,216,201,21,44,10,3,4,17,8,0,15,47,.219,.273,.358,.631,67,72,6,0,0,0,0,6
17,Oswaldo Arcia*\arciaos01,25,TOT,16,47,45,2,5,1,0,2,4,0,0,2,15,.111,.149,.267,.416,9,12,0,0,0,0,0,9
18,Oswaldo Arcia*\arciaos01,25,MIA,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,
19,Oswaldo Arcia*\arciaos01,25,SDP,14,45,43,2,5,1,0,2,4,0,0,2,14,.116,.156,.279,.435,14,12,0,0,0,0,0,9
20,Nolan Arenado\arenano01,25,COL,160,696,618,116,182,35,6,41,133,2,3,68,103,.294,.362,.570,.932,129,352,17,2,0,8,10,*5
21,Jake Arrieta\arrieja01,30,CHC,31,70,65,7,17,2,1,2,7,0,0,4,28,.262,.304,.415,.720,92,27,1,0,1,0,0,1
22,Cody Asche*\ascheco01,26,PHI,71,218,197,22,42,15,0,4,18,3,1,18,54,.213,.284,.350,.635,70,69,1,2,0,1,0,7
23,Alec Asher\asheral01,24,PHI,5,11,11,0,1,0,0,0,2,0,0,0,6,.091,.091,.091,.182,-51,1,0,0,0,0,0,/1
24,Carlos Asuaje*\asuajca01,24,SDP,7,25,24,2,5,2,0,0,2,0,0,1,4,.208,.240,.292,.532,43,7,0,0,0,0,0,/4
25,Luis Avilan*\avilalu01,26,LAD,27,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
26,Erick Aybar#\aybarer01,32,ATL,97,368,335,27,81,14,2,2,26,3,5,20,59,.242,.293,.313,.607,64,105,14,6,3,4,5,6/4
27,Javier Baez\baezja01,23,CHC,142,450,421,50,115,19,1,14,59,12,3,15,108,.273,.314,.423,.737,97,178,8,11,1,2,3,546/37
28,Pedro Baez\baezpe01,28,LAD,73,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1
29,Andrew Bailey\bailean01,32,PHI,33,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
30,Homer Bailey\baileho02,30,CIN,6,11,10,0,1,0,0,0,0,0,0,1,1,.100,.182,.100,.282,-22,1,1,0,0,0,0,/1
31,Austin Barnes\barneau01,26,LAD,21,37,32,3,5,1,0,0,2,0,0,5,9,.156,.270,.188,.458,29,6,0,0,0,0,0,/245
